PMID,title,journal,nodeGroup
32512579,Estimating the effects of non-pharmaceutical interventions on COVID-19 in Europe.,Nature,2
26107625,Microneutralization assay titres correlate with protection against seasonal influenza H1N1 and H3N2 in children.,PloS one,2
30938227,Towards a solution to MERS: protective human monoclonal antibodies targeting different domains and functions of the MERS-coronavirus spike glycoprotein.,Emerging microbes & infections,2
32756549,SARS-CoV-2 mRNA vaccine design enabled by prototype pathogen preparedness.,Nature,1
10918485,Sodium phosphate enhances plasmid DNA expression in vivo.,Gene therapy,2
15024391,A DNA vaccine induces SARS coronavirus neutralization and protective immunity in mice.,Nature,2
15096554,Antibody response and viraemia during the course of severe acute respiratory syndrome (SARS)-associated coronavirus infection.,Journal of medical microbiology,2
26446606,Characterization and Demonstration of the Value of a Lethal Mouse Model of Middle East Respiratory Syndrome Coronavirus Infection and Disease.,Journal of virology,2
31096710,Safety and Immunogenicity of a Novel Recombinant Simian Adenovirus ChAdOx2 as a Vectored Vaccine.,Vaccines,2
32454512,A human neutralizing antibody targets the receptor-binding site of SARS-CoV-2.,Nature,2
16731915,Antigenic and immunogenic characterization of recombinant baculovirus-expressed severe acute respiratory syndrome coronavirus spike protein: implication for vaccine design.,Journal of virology,1
23159882,"Protective efficacy of in vitro synthesized, specific mRNA vaccines against influenza A virus infection.",Nature biotechnology,2
9143688,Neutralizing antiviral B cell responses.,Annual review of immunology,2
12927681,Purine and pyrimidine metabolites in children's urine.,Clinica chimica acta; international journal of clinical chemistry,2
12574374,IL-13 is sufficient for respiratory syncytial virus G glycoprotein-induced eosinophilia after respiratory syncytial virus challenge.,"Journal of immunology (Baltimore, Md. : 1950)",2
16497416,A recombinant baculovirus-expressed S glycoprotein vaccine elicits high titers of SARS-associated coronavirus (SARS-CoV) neutralizing antibodies in mice.,Vaccine,2
24667168,Low 2012-13 influenza vaccine effectiveness associated with mutation in the egg-adapted H3N2 vaccine strain not antigenic drift in circulating viruses.,PloS one,2
28428558,"A joint analysis of influenza-associated hospitalizations and mortality in Hong Kong, 1998-2013.",Scientific reports,2
32532802,The impact of COVID-19 and strategies for mitigation and suppression in low- and middle-income countries.,"Science (New York, N.Y.)",2
32376603,Development of an inactivated vaccine candidate for SARS-CoV-2.,"Science (New York, N.Y.)",2
20876821,How innate immune mechanisms contribute to antibody-enhanced viral infections.,Clinical and vaccine immunology : CVI,2
29336703,Establishing Correlates of Protection for Vaccine Development: Considerations for the Respiratory Syncytial Virus Vaccine Field.,Viral immunology,2
16670345,T cell responses are better correlates of vaccine protection in the elderly.,"Journal of immunology (Baltimore, Md. : 1950)",2
9814710,"Structure of the hemagglutinin precursor cleavage site, a determinant of influenza pathogenicity and the origin of the labile conformation.",Cell,2
9518670,Phosphate-enhanced transfection of cationic lipid-complexed mRNA and plasmid DNA.,Biochimica et biophysica acta,2
