title,journal,pubDate
Serum Levels of Vitamin C and Vitamin D in a Cohort of Critically Ill COVID-19 Patients of a North American Community Hospital Intensive Care Unit in May 2020: A Pilot Study,Medicine in Drug Discovery,2020-09-18
Isoflurane and Carbon Dioxide Elicit Similar Behavioral Responses in Rats,Animals : an Open Access Journal from MDPI,2020-08-16
Potential Treatments for SARS‐CoV‐2 Infection,Clinical Liver Disease,2020-05-21
A commentary on “World Health Organization declares global emergency: A review of the 2019 novel Coronavirus (COVID-19)”,"International Journal of Surgery (London, England)",2020-03-10
The relationship between fever rate and telework implementation as a social distancing measure against the COVID-19 pandemic in Japan,Public Health,2020-05-22
Medical students for health-care staff shortages during the COVID-19 pandemic,"Lancet (London, England)",2020-04-23
The regulation project: Tools for engaging the public in the legal regulation of drugs,The International Journal on Drug Policy,2020-10-10
A distance based multisample test for high-dimensional compositional data with applications to the human microbiome,BMC Bioinformatics,2020-12-03
Clinical characteristics of 11 asymptomatic patients with COVID-19,Medicina Clinica,2020-05-08
"Cefepime/cotrimoxazole/immunosuppressants: Ventilator-associated pneumonia, pneumonia and acute kidney injury: case report",Reactions Weekly,2020-09-12
A cross-sectional survey of parental perceptions of COVID-19 related hygiene measures within schools and adherence to social distancing in journeys to and from school,BMJ Paediatrics Open,2020-09-09
Anosmia is associated with lower in-hospital mortality in COVID-19,Journal of the Neurological Sciences,2020-10-01
Coronavirus infection and kidney disease: a review of current and emerging evidence,The Pan African Medical Journal,2020-10-13
La télémédecine est-elle devenue l’avenir de la médecine de la personne ? Réflexions d’un confiné au temps du COVID,Médecine des Maladies Métaboliques,2020-05-06
COVID-19 and the academy: It is time for going digital,Energy Research & Social Science,2020-06-30
How can we futureproof vet education?,The Veterinary Record,2020-08-06
Bubble storytelling with automated animation: a Brexit hashtag activism case study,Journal of Visualization,2020-09-01
Efficacy of commercial polyvalent avian infectious bronchitis vaccines against Chinese QX-like and TW-like strain via different vaccination strategies,Poultry Science,2020-07-24
"A quadruple blind, randomised controlled trial of gargling agents in reducing intraoral viral load among hospitalised COVID-19 patients: A structured summary of a study protocol for a randomised controlled trial",Trials,2020-09-14
Management of cancer patients during COVID-19 pandemic at developing countries,World Journal of Clinical Cases,2020-08-26
Estimation and prediction of COVID-19 cases in Brazilianmetropolises,Revista Latino-Americana de Enfermagem,2020-06-26
Importance of Patient Advocacy During the COVID-19 Pandemic,American Journal of Ophthalmology,2020-09-19
Effect of Convalescent Plasma Therapy on Viral Shedding and Survival in COVID-19 Patients,The Journal of Infectious Diseases,2020-04-29
Climate Change and Inpatient Dermatology,Current Dermatology Reports,2020-08-22
Estimating COVID-19 prevalence and infection control practices among US dentists,Journal of the American Dental Association (1939),2020-10-15
"Symptoms of Posttraumatic Stress, Anxiety, Depression, Levels of Resilience and Burnout in Spanish Health Personnel during the COVID-19 Pandemic",International Journal of Environmental Research and Public Health,2020-07-30
Promote an unexpected online experience through richer content,Enrollment Management Report,2020-06-14
Challenges in the Practice of Sexual Medicine in the Time of COVID-19 in Spain,The Journal of Sexual Medicine,2020-05-23
Forum,Pharmaceutical Medicine,2020-11-25
Biostatistics to better detect fishy findings,The Lancet. Infectious Diseases,2020-06-29
"Stress proteins: the biological functions in virus infection, present and challenges for target-based antiviral drug development",Signal Transduction and Targeted Therapy,2020-07-13
SARS Coronavirus Redux,Trends in Immunology,2020-03-12
Ein allergologisches Wechselbad der Gefühle,Allergo Journal,2020-12-18
Performing tracheostomy during the Covid-19 pandemic: guidance and recommendations from the Critical Care and Acute Care Surgery Committees of the American Association for the Surgery of Trauma,Trauma Surgery & Acute Care Open,2020-04-15
True epidemic growth construction through harmonic analysis,Journal of Theoretical Biology,2020-03-12
The Equatoguinean Malaria Vaccine Initiative: From the Launching of a Clinical Research Platform to Malaria Elimination Planning in Central West Africa,The American Journal of Tropical Medicine and Hygiene,2020-05-26
"Assessment of nanoindentation in stiffness measurement of soft biomaterials: kidney, liver, spleen and uterus",Scientific Reports,2020-11-02
Comment on: Reshaping ophthalmology training after COVID-19 pandemic,Eye,2020-08-18
COVID-19 management in light of the circadian clock,Nature Reviews. Molecular Cell Biology,2020-07-22
Usability of two brief questions as a screening tool for domestic violence and effect of #MeToo on prevalence of self-reported violence,"European Journal of Obstetrics, Gynecology, and Reproductive Biology",2020-10-16
Belief of having had unconfirmed Covid-19 infection reduces willingness to participate in app-based contact tracing,NPJ Digital Medicine,2020-11-06
Occurrence of pulmonary embolism in a patient with mild clinical expression of COVID-19,Thrombosis Research,2020-05-05
A consistent approach to the genotype encoding problem in a genome-wide association study of continuous phenotypes,PLoS ONE,2020-07-15
Interpretation of ‐19  testing‐ what surgeons need to know,The British Journal of Surgery,2020-07-20
Implementation of a Hypothesis-Driven Physical Exam Session in a Transition to Clerkship Program,MedEdPORTAL : the Journal of Teaching and Learning Resources,2020-11-24
Estimating case fatality rates of COVID-19,The Lancet. Infectious Diseases,2020-03-31
Impact of sex and gender on COVID-19 outcomes in Europe,Biology of Sex Differences,2020-05-25
"Trends in acute myocardial infarction admissions during the COVID-19 pandemic in Ankara, Turkey",Anatolian Journal of Cardiology,2020-07-27
Understanding the Community Risk Perceptions of the COVID-19 Outbreak in South Korea: Infodemiology Study,Journal of Medical Internet Research,2020-09-29
Decreased retinal detachments during a COVID‐19 lockdown period in Colorado,Acta Ophthalmologica,2020-08-24
"SARS-CoV-2 Exposure and Infection Among Health Care Personnel — Minnesota, March 6–July 11, 2020",Morbidity and Mortality Weekly Report,2020-10-30
Are R&D-Intensive firms also corporate social responsibility specialists? A multicountry study,Research Policy,2020-08-06
Covid-19 pneumonia and pulmonary vascular disease: A UK Centre perspective,Respiratory Medicine and Research,2020-08-03
"When a COVID-19 vaccine is ready, will we all be ready for it?",International Journal of Public Health,2020-06-11
In-situ synthesis of CuO on cotton fibers with antibacterial properties and reusable photocatalytic degradation of dyes,Applied Surface Science,2020-09-26
Editorial: Translational Insights Into Mechanisms and Therapy of Organ Dysfunction in Sepsis and Trauma,Frontiers in Immunology,2020-09-25
Wirtschaftliche Entwicklungen in der Galvano-Branche,JOT Journal für Oberflächentechnik,2020-08-28
Differential Diagnosis of COVID-19 Pneumonia in Cancer Patients Received Radiotherapy,International Journal of Medical Sciences,2020-09-16
Remote Treatment Delivery in Response to the COVID-19 Pandemic,Psychotherapy and Psychosomatics,2020-03-26
Laboratory information system requirements to manage the COVID-19 pandemic: A report from the Belgian national reference testing center,Journal of the American Medical Informatics Association : JAMIA,2020-04-29
Outcomes of COVID-19 in Solid Organ Transplants,Cureus,2020-11-05
A COVID-19 Risk Assessment Decision Support System for General Practitioners: Design and Development Study,Journal of Medical Internet Research,2020-06-29
Inclusiveness and Diversity in Citizen Science,The Science of Citizen Science,2020-08-29
Addressing socioeconomic inequalities in obesity: Democratising access to resources for achieving and maintaining a healthy weight,PLoS Medicine,2020-07-28
Peptic Ulcer Disease as a Common Cause of Bleeding in Patients with Coronavirus Disease 2019,The American Journal of Gastroenterology,2020-05-22
State ownership and stock liquidity: Evidence from privatization,Journal of Corporate Finance,2020-10-22
432. High concordance between self-collected nasal swabs and saliva samples for detection of SARS-CoV-2,Open Forum Infectious Diseases,2020-12-31
"Preventive replacement policies with time of operations, mission durations, minimal repairs and maintenance triggering approaches",Journal of Manufacturing Systems,2020-06-18
CD24Fc protects against viral pneumonia in simian immunodeficiency virus-infected Chinese rhesus monkeys,Cellular and Molecular Immunology,2020-05-07
RCP8.5 tracks cumulative CO emissions,Proceedings of the National Academy of Sciences of the United States of America,2020-08-03
Single-UsePlastics and COVID-19: Scientific Evidenceand Environmental Regulations,Environmental Science & Technology,2020-06-08
Regional variation in COVID-19 disparities: Connections with immigrant and Latinx communities in US counties,Annals of Epidemiology,2020-09-11
Alcohol industry arguments for putting profit before health in the midst of a pandemic: The Western Australian experience,Drug and Alcohol Review,2020-08-27
Digestive symptoms of COVID-19 and expression of ACE2 in digestive tract organs,Cell Death Discovery,2020-08-11
Timing of Intubation and In-Hospital Mortality in Patients With Coronavirus Disease 2019,Critical Care Explorations,2020-10-21
Fatal ‐19 infection in a patient with long‐chain  dehydrogenase deficiency: A case report,JIMD Reports,2020-09-10
Addressing COVID‐19 Drug Development with Artificial Intelligence,"Advanced Intelligent Systems (Weinheim an Der Bergstrasse, Germany)",2020-04-27
Ethical Framework for Nutrition Support Resource Allocation During Shortages: Lessons From COVID‐19,Nutrition in Clinical Practice,2020-06-03
Amesh Adalja: taking pandemic preparation seriously,Bulletin of the World Health Organization,2020-05-01
A proposal for selective resuscitation of adult cardiac arrest patients in a pandemic,Journal of the American College of Emergency Physicians Open,2020-06-11
Epidemiological control measures and predicted number of infections for SARS-CoV-2 pandemic: case study Serbia march–april 2020,Heliyon,2020-06-17
Preparing Children for Pandemics,Coronavirus Disease 2019 (COVID-19),2020-04-30
“The Brain Society”: The First Two Years of an Undergraduate Neuroscience Society in Northern Ireland,The Ulster Medical Journal,2020-10-21
The Italian Society Indication for Rhinologists during Covid-19: Italy Phase 2,International Archives of Otorhinolaryngology,2020-06-19
Effects of COVID-19 lockdown strategies on management of atrial fibrillation,European Heart Journal,2020-07-02
In Case You Haven't Heard…,Alcoholism & Drug Abuse Weekly,2020-05-29
Sofosbuvir for COVID-19 infection: A potential candidate,Indian Journal of Pharmacology,2020-08-04
"Dealing With Liver Transplantation during Coronavirus Disease 2019 Pandemic: Normothermic Machine Perfusion Enables for Donor, Organ, and Recipient Assessment: A Case Report",Transplantation Proceedings,2020-07-22
Therapeutic Plasma Exchange followed by Convalescent Plasma transfusion in critical COVID-19- an exploratory study,International Journal of Infectious Diseases,2020-11-03
Need for more proactive use of pharmacists in the COVID-19 pandemic following lessons learnt from the Great East Japan Earthquake,Journal of Global Health,2020-10-26
Transformation of the Tanzania medical stores department through global fund support: an impact assessment study,BMJ Open,2020-11-06
Teleophthalmology techniques increase ophthalmic examination distance,Eye,2020-07-16
Electrostatic Filters to Reduce COVID-19 Spread in Bubble CPAP: An in vitro Study of Safety and Efficacy,Neonatology,2020-11-27
Mesenchymal Stem Cells in Acute Respiratory Distress SyndromeSupported with Extracorporeal Membrane Oxygenation. Lost in TranslationalResearch?,American Journal of Respiratory and Critical Care Medicine,2020-08-01
Competitive SARS-CoV-2 Serology Reveals Most Antibodies Targeting the Spike Receptor-Binding Domain Compete for ACE2 Binding,mSphere,2020-09-16
Overdue for an Overhaul: How Opioid Treatment Programs Can Learn From COVID-19,Mayo Clinic Proceedings,2020-08-25
Conquering COVID-19: How DDS Is CoVering the Pandemic,Digestive Diseases and Sciences,2020-06-05
Commentary: COVID-19 pandemic and national lockdown: The cascading effect,Indian Journal of Ophthalmology,2020-08-01
Timing of Intubation and Its Implications on Outcomes in Critically Ill Patients With Coronavirus Disease 2019 Infection,Critical Care Explorations,2020-10-23
Foreseeing the COVID in the emergency department: The 4 “C” s,Journal of Family Medicine and Primary Care,2020-10-30
What Did We Expected from Porto's ECDP2020?,Journal of Pathology Informatics,2020-09-18
"Characteristics of laboratory indexes in COVID-19 patients with non-severe symptoms in Hefei City, China: diagnostic value in organ injuries",European Journal of Clinical Microbiology & Infectious Diseases,2020-07-01
Changes in Adult Alcohol Use and Consequences During the COVID-19 Pandemic in the US,JAMA Network Open,2020-09-29
"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020",Morbidity and Mortality Weekly Report,2020-04-03
Crystal structures of SARS-CoV-2 ADP-ribose phosphatase: from the apo form to ligand complexes: Structure of SARS-CoV-2 ADRP,IUCrJ,2020-07-17
Identification and characterization of a novel bat polyomavirus in Japan,Virus Genes,2020-08-20
Adapting to the Educational Challenges of a Pandemic: Development of a Novel Virtual Urology Subinternship During the Time of COVID-19,Urology,2020-10-10
COVID-19: towards controlling of a pandemic,"Lancet (London, England)",2020-03-17
Dealing with spatial misalignment to model the relationship between deprivation and life expectancy: a model-based geostatistical approach,International Journal of Health Geographics,2020-03-04
Hemorrhagic Problem Among the Patients With COVID-19: Clinical Summary of 41 Thai Infected Patients,Clinical and Applied Thrombosis/Hemostasis,2020-04-06
"Potential of combating transmission of COVID-19 using novel self-cleaning superhydrophobic surfaces: part II—thermal, chemical, and mechanical durability",International Journal of Mechanics and Materials in Design,2020-08-05
Be aware of how COVID‐19 could impact international students,Enrollment Management Report,2020-04-27
Does COVID-19 pose a challenge to the diagnoses of anxiety and depression? A psychologist's view,BJPsych Bulletin,2020-09-03
Voorkom burn-out en PTSS,Zorgvisie,2020-05-22
2 Rightsizing Response: The Optimization of Critical Care Resources during COVID-19,Annals of Emergency Medicine,2020-10-29
Public perception of urban companion animals during the COVID-19 outbreak in China,Health & Place,2020-07-28
Im Spannungsfeld zwischen Freiheit und Sicherheit: In Zeiten von Corona werden viele Schwachstellen in der Langzeitpflege sichtbar,Procare,2020-11-13
Coronavirus disease 2019 in elderly patients: Characteristics and prognostic factors based on 4-week follow-up,The Journal of Infection,2020-03-30
"SARS-CoV-2 infection, male fertility and sperm cryopreservation: a position statement of the Italian Society of Andrology and Sexual Medicine (SIAMS) (Società Italiana di Andrologia e Medicina della Sessualità)",Journal of Endocrinological Investigation,2020-05-27
"Rapid response to COVID-19, escalation and de-escalation strategies to match surge capacity of Intensive Care beds to a large scale epidemic",Revista Española de Anestesiología y Reanimación (English Edition),2020-12-28
SARS-CoV-2 Receptor  IsEnriched in a Subpopulation of Mouse Tongue Epithelial Cells in NongustatoryPapillae but Not in Taste Buds or Embryonic Oral Epithelium,ACS Pharmacology & Translational Science,2020-07-23
COVID-19 Pandemic: What Can the West Learn From the East?,International Journal of Health Policy and Management,2020-05-31
Comment et pourquoi adapter le masque EasyBreath® pour les soignants prenant en charge des patients infectés par le SARS-CoV-2 ?,Annales Franc?aises D'Oto-Rhino-Laryngologie et De Pathologie Cervico-Faciale,2020-05-23
Lack of association of antihypertensive drugs with the risk and severity of COVID-19: A meta-analysis,Journal of Cardiology,2020-11-02
Artificial Intelligence in the Fight Against COVID-19: Scoping Review,Journal of Medical Internet Research,2020-12-15
"‐CoV‐2, bacterial co‐infections, and : the deadly trio in ‐19?",EMBO Molecular Medicine,2020-05-26
CCBlock: an effective use of deep learning for automatic diagnosis of COVID-19 using X-ray images,Research on Biomedical Engineering,2020-11-08
Schwerer Verlauf bei Adipösen,Mmw Fortschritte Der Medizin,2020-05-28
μ-Opioid Receptors on Distinct Neuronal Populations Mediate Different Aspects of Opioid Reward-Related Behaviors,eNeuro,2020-09-18
Beyond Predicting the Number of Infections: Predicting Who is Likely to Be COVID Negative or Positive,Risk Management and Healthcare Policy,2020-12-03
Has the COVID-19 pandemic affected the susceptibility to cyberbullying in India?,Computers in Human Behavior Reports,2020-09-28
COVID-19: when should quarantine be enforced?,The Lancet. Infectious Diseases,2020-05-20
Rapid and quantitative detection of SARS-CoV-2 specific IgG for convalescent serum evaluation,Biosensors & Bioelectronics,2020-09-03
Incubation Period of Severe Acute Respiratory Syndrome Novel Coronavirus 2 that Causes Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,"Current Therapeutic Research, Clinical and Experimental",2020-10-11
Obesity as a risk factor for poor outcome in COVID-19-induced lung injury: the potential role of undiagnosed obstructive sleep apnoea,BJA: British Journal of Anaesthesia,2020-05-01
Promising effect of in-situ lyticase enzyme therapy on peritoneal dialysis catheter obstruction from  fungal biofilm: A case report,Medical Mycology Case Reports,2020-10-01
"How health anxiety influences responses to viral outbreaks like COVID-19: What all decision-makers, health authorities, and health care professionals need to know",Journal of Anxiety Disorders,2020-03-10
Is Nigeria prepared and ready to respond to the COVID-19 pandemic in its conflict-affected northeastern states?,International Journal for Equity in Health,2020-05-27
Comparison of Direct-to-Consumer Telemedicine Visits With Primary Care Visits,JAMA Network Open,2020-12-08
Aesthetıc dermatology procedures ın coronavırus‐days,Journal of Cosmetic Dermatology,2020-05-27
"Gastrointestinal Endoscopy during COVID: Do Some, Leave Most",Journal of Digestive Endoscopy,2020-05-16
The Relationship Exploration between Public Migration Attention and Population Migration from a Perspective of Search Query,International Journal of Environmental Research and Public Health,2020-04-01
Management and Prevention Strategies for Non-communicable Diseases (NCDs) and Their Risk Factors,Frontiers in Public Health,2020-11-26
Steroids for sepsis and ARDS: this eternal controversy remains with COVID-19,"Lancet (London, England)",2020-10-09
Total water exchange colonoscopy to mitigate infection risks due to aerosolization during colonoscopy,Advances in Digestive Medicine,2020-08-25
A Systematic Review on Guidelines and Recommendations for Urology Standard of Care During the COVID-19 Pandemic,European Urology Focus,2020-06-05
Should Angiotensin-Converting Enzyme Inhibitors ever Be Used for the Management of Hypertension?,Current Cardiology Reports,2020-07-09
An Exploration of the help-seeking experiences of patients in an allied professions-led rapid access chest pain pathway: a qualitative study,BMJ Open,2020-11-19
Surgical activity in the COVID-19 era: trend of slowdown from a multicentre observational study,European Urology Open Science,2020-09-18
Burnout syndrome in university professors and academic staff members: psychometric properties of the Copenhagen Burnout Inventory–Brazilian version,"Psicologia, Reflexão e Crítica : revista semestral do Departamento de Psicologia da UFRGS",2020-06-28
Light in the midst of chaos: COVID-19 and female political representation,World Development,2020-09-02
Incidence and impact of cardiac arrhythmias in coronavirus disease 2019 (COVID-19): A systematic review and meta-analysis,Indian Pacing and Electrophysiology Journal,2020-08-16
The importance of PHC-based measures in controlling COVID-19 outbreak: Implications for global health system,"Ethics, Medicine, and Public Health",2020-06-17
Instantaneous “catch‐and‐kill” inactivation of SARS‐CoV‐2 by nitride ceramics,Clinical and Translational Medicine,2020-10-18
"Impact of covid-19 pandemic on dermatology practice: results of a web-based, global survey",International Journal of Women's Dermatology,2020-10-12
The Future of Skull Base Surgery: A View Through Tinted Glasses,World Neurosurgery,2020-06-27
La neumología en tiempos de COVID-19,Archivos De Bronconeumologia,2020-05-31
"Thoughts on What Chemists Can Contribute to Fighting SARS‐CoV‐2 – A Short Note on Hand Sanitizers, Drug Candidates and Outreach",Angewandte Chemie (International Ed. in English),2020-05-08
Gemeinsam durch Corona,Hebammen Wissen,2020-11-09
Oral Cancer Surgery and COVID pandemic – Metronomic Therapy shows a promising role while awaiting surgery,Oral Oncology,2020-05-22
COVID-19 and the Coombs test,Blood,2020-12-14
Pooling Samples to Increase SARS-CoV-2 Testing,Journal of the Indian Institute of Science,2020-10-18
Small Molecule Inhibitors of Middle East Respiratory Syndrome Coronavirus Fusion by Targeting Cavities on Heptad Repeat Trimers,Biomolecules & Therapeutics,2020-03-04
Vulnerable learners in the age of COVID-19: A scoping review,Australian Educational Researcher,2020-11-27
A Transdisciplinary Analysis of COVID-19 in Italy: The Most Affected Country in Europe,International Journal of Environmental Research and Public Health,2020-12-18
Using caputo-fabrizio derivative for the transmission of mathematical model epidemic Corona Virus,SeMA Journal,2020-09-26
Use of Customizable Nucleases for Gene Editing and Other Novel Applications,Genes,2020-08-22
Medicine Head and Neck Cancer Service Line ‐19 management guidelines,Head & Neck,2020-06-25
Primary liposarcoma of the fibular head: A rare location for a rare tumor: A case report,International Journal of Surgery Case Reports,2020-12-17
SARS-CoV2 en pediatría: más allá de la infección,"Anales De Pediatria (Barcelona, Spain : 2003)",2020-05-20
Pain Manifestations of COVID-19 and Their Association With Mortality: A Multi-Center Prospective Observational Study,Mayo Clinic Proceedings,2020-12-26
Tension pneumomediastinum in patients with COVID-19,Thorax,2020-08-02
"Piglets inoculated by different routes are not susceptible to SARS‐CoV‐2, but those inoculated parenterally were immunized against the virus",Transboundary and Emerging Diseases,2020-10-02
Virtual scribing within otolaryngology during the COVID-19 pandemic and beyond,American Journal of Otolaryngology,2020-06-18
Complete pulmonary recovery after COVID-19 infection requiring extracorporeal membrane oxygenation: A case report,International Journal of Critical Illness and Injury Science,2020-09-22
Integrating Biodiversity Infrastructure into Pathogen Discovery and Mitigation of Emerging Infectious Diseases,Bioscience,2020-06-24
Detection and infectivity potential of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) environmental contamination in isolation units and quarantine facilities,Clinical Microbiology and Infection,2020-09-10
Hypofibrinolytic state and high thrombin generation may play a major role in sars‐cov2 associated thrombosis,Journal of Thrombosis and Haemostasis,2020-07-15
The role of food science and technology in humanitarian response,Trends in Food Science & Technology,2020-06-23
Defect patterns on the curved surface of fish retinae suggest a mechanism of cone mosaic formation,PLoS Computational Biology,2020-12-15
Sleep disturbances among medical workers during the outbreak of COVID-2019,"Occupational Medicine (Oxford, England)",2020-05-06
Preparedness and Rapid Implementation of External Quality Assessment Helped Quickly Increase COVID-19 Testing Capacity in the Republic of Korea,Clinical Chemistry,2020-04-22
Beyond bulk single-chain sequencing: Getting at the whole receptor,Current Opinion in Systems Biology,2020-10-17
The human coronaviruses (HCoVs) and the molecular mechanisms of SARS-CoV-2 infection,"Journal of Molecular Medicine (Berlin, Germany)",2020-12-02
"Knowledge, Attitudes, and Practices of the Vietnamese as Key Factors in Controlling COVID-19",Journal of Community Health,2020-09-07
Impact of Social Isolation Due to COVID-19 on Health in Older People: Mental and Physical Effects and Recommendations,"The Journal of Nutrition, Health & Aging",2020-09-25
Relevance of oral cavity in COVID,British Dental Journal,2020-07-24
COVID-19: The Long Tail,Journal of the American College of Radiology,2020-09-01
Mechanical and Air Permeability Performance of Novel Biobased Materials from Fungal Hyphae and Cellulose Fibers,Materials,2020-12-30
Perceived Utilities of COVID-19 Related Chatbots in Saudi Arabia: a Cross-sectional Study,Acta Informatica Medica,2020-09-01
Hydroxychloroquine: Acute haemolytic anaemia direct Coombs negative following off-label use: case report,Reactions Weekly,2020-10-17
"Making Sense of Ourselves with Others: Review of  by Naoko Saito: Review of Naoko Saito,",Studies in Philosophy and Education,2020-09-19
"Cultural complications: Why, how, and lessons learned",American Journal of Surgery,2020-09-08
"Adjustments in analyses of vitamin D status, allowing for vitamin D determinants, for Covid‐19 risks",Diabetes/Metabolism Research and Reviews,2020-06-26
Evidence for systematic autopsies in COVID-19 positive deceased: Case report of the first German investigated COVID-19 death,"Rechtsmedizin (Berlin, Germany)",2020-05-25
Burnout and the mental health impact of COVID-19 in anesthesiologists: A call to action,Journal of Clinical Anesthesia,2020-09-30
Interleukin-6 Antagonist Tocilizumab to Treat Critically Ill Coronavirus Disease 2019 Patients With Cytokine Release Syndrome: A Case Series,Journal of Cardiothoracic and Vascular Anesthesia,2020-10-24
Working conditions and emotional impact in healthcare workers during COVID-19 pandemic,Journal of Healthcare Quality Research,2020-09-12
Philosophical reflections about the virtual world,CSI Transactions on ICT,2020-11-24
Tuberculosis and coronavirus disease 2019 coinfection,Revista da Sociedade Brasileira de Medicina Tropical,2020-11-06
L’élément militaire de réanimation du service de santé des armées : un hôpital militaire de campagne dédié à la réanimation,Anesthésie & Réanimation,2020-05-14
Stress in the workplace for healthcare professionals,Physiological Reports,2020-07-06
Troubles anxieux et depressifs des patientes pendant la pandémie Covid-19,Bulletin du Cancer,2020-09-11
A comparative analysis of control measures on-board ship against COVID-19 and similar novel viral respiratory disease outbreak: Quarantine ship or disembark suspects?,"Medical Journal, Armed Forces India",2020-06-30
COVID-19 et SCA ST+,Annales De Cardiologie et D'Angeiologie,2020-10-01
Does SARS‐CoV‐2 has a longer incubation period than SARS and MERS?,Journal of Medical Virology,2020-02-24
Response to the Comments on “Factors Affecting the Psychological Well-being of Health Care Workers During an Epidemic: A Thematic Review”,Indian Journal of Psychological Medicine,2020-10-09
From the editor: Confronting a pandemic or two,Journal of Clinical Lipidology,2020-04-13
"Fluorescent quantum dots-zika virus hybrid nanoconjugates for biolabeling, bioimaging, and tracking host-cell interactions",Materials Letters,2020-07-10
"Service, science, and fortitude: Our thanks and salute to Dr. Anthony S. Fauci, October 2020",Infection Control and Hospital Epidemiology,2020-11-05
"Waterpipe Use among Adolescents in Germany: Prevalence, Associated Consumer Characteristics, and Trends (German Health Interview and Examination Survey for Children and Adolescents, KiGGS)",International Journal of Environmental Research and Public Health,2020-10-22
For-Profit Hospitals Out of Business? Financial Sustainability During the COVID-19 Epidemic Emergency Response,International Journal of Health Policy and Management,2020-05-04
Telemedicine in cardiovascular surgery during COVID‐19 pandemic: A systematic review and our experience,Journal of Cardiac Surgery,2020-08-16
Laboratory diagnosis of SARS-CoV-2: available approaches and limitations,New Microbes and New Infections,2020-06-14
Covid-19 and Cancer Plastic Surgery,World Journal of Plastic Surgery,2020-09-01
Equity as both a means and an end: Lessons for resilient food systems from COVID-19,World Development,2020-08-04
New Beginnings,Global Spine Journal,2020-11-04
COVID-19 pandemic: Ophthalmic practice and precautions in a tertiary eye hospital in Iran,Infection Control and Hospital Epidemiology,2020-04-23
An Innovative Model for Providing Dermatology Services Within Primary Care,Academic Pediatrics,2020-10-15
Severe coronavirus disease 2019 (COVID‐19) pneumonia patients treated successfully with a combination of lopinavir/ritonavir plus favipiravir: Case series,Clinical Case Reports,2020-09-25
Cancer history is an independent risk factor for mortality in hospitalized COVID-19 patients: a propensity score-matched analysis,Journal of Hematology & Oncology,2020-06-10
The Covid-19 World: Learning or Downfall,Postdigital Science and Education,2020-09-17
Nordic Bioeconomy Pathways: Future narratives for assessment of water-related ecosystem services in agricultural and forest management,Ambio,2020-09-13
"Healthcare Resource Management and Pandemic Preparedness for COVID-19: A Single Centre Experience From Jodhpur, India",International Journal of Health Policy and Management,2020-06-20
"Global Public Health Database Support to Population-Based Management of Pandemics and Global Public Health Crises, Part II: The Database",Prehospital and Disaster Medicine,2020-10-22
COVID‐19 mortality in patients on anticoagulants and antiplatelet agents,British Journal of Haematology,2020-06-25
Palliative care strategies offer guidance to clinicians and comfort for COVID-19 patient and families,Heart & Lung,2020-04-04
Contribution of anosmia and dysgeusia for diagnostic of COVID-19 in outpatients,Infection,2020-05-14
Mini-Review of Laboratory Operations in Biobanking: Building Biobanking Resources for Translational Research,Frontiers in Public Health,2020-07-28
Experimental Model to Test Electrostatic Precipitation Technology in the COVID-19 Era: A Pilot Study,Journal of the American College of Surgeons,2020-09-03
The importance of PrEP persistence in preventing HIV infections on PrEP,Journal of the International AIDS Society,2020-08-26
Vliegwiel voor nationaal eerstelijns onderzoek,Huisarts En Wetenschap,2020-09-07
ACE2: The Key Molecule for Understanding the Pathophysiology of Severe and Critical Conditions of COVID-19: Demon or Angel?,Viruses,2020-04-28
Effectiveness of Family-Based Behavior Change Interventions on Obesity-Related Behavior Change in Children: A Realist Synthesis,International Journal of Environmental Research and Public Health,2020-06-08
Clinical Characteristics and Outcome of Hospitalized COVID-19 Patients in a MERS-CoV Endemic Area,Journal of Epidemiology and Global Health,2020-09-01
ISG15-dependent Activation of the RNA Sensor MDA5 and its Antagonism by the SARS-CoV-2 papain-like protease,bioRxiv,2020-10-27
A mobile DNA laboratory for forensic science adapted to coronavirus SARS-CoV-2 diagnosis,European Journal of Clinical Microbiology & Infectious Diseases,2020-07-14
"Transcriptomic analysis of  treated by a potential phytonematicide, punicalagin",Journal of Nematology,2020-03-18
Detection profile of SARS‐CoV‐2 using RT‐PCR in different types of clinical specimens: A systematic review and meta‐analysis,Journal of Medical Virology,2020-08-02
Sulfobutylether-β-cyclodextrin,International Journal of Pharmaceutics,2020-05-04
Patch dynamics modeling framework from pathogens’ perspective: Unified and standardized approach for complicated epidemic systems,PLoS ONE,2020-10-15
TV doctor reinvigorates child dental campaign,Bdj Team,2020-10-16
Deep-learning-assisted detection and segmentation of rib fractures from CT scans: Development and validation of FracNet,EBioMedicine,2020-11-10
Creating predoctoral orthodontic laboratory online modules and a complete course kit in response to COVID‐19,Journal of Dental Education,2020-08-10
Clinical Outcome of Coronavirus Disease 2019 in Haemato‐oncology Patients,British Journal of Haematology,2020-05-18
Micro and nanoscale technologies in oral drug delivery,Advanced Drug Delivery Reviews,2020-07-22
Corrigendum to “Traditional Chinese medicine for COVID-19 treatment” [Pharmacol. Res. 155 (2020) 104743],Pharmacological Research,2020-03-25
